,inf,ano,b100,defl
0,1.86,1994,100.0,1.0
1,1.53,1994,101.53000000000002,1.0153
2,2.62,1994,104.19008600000002,1.0419008600000002
3,2.81,1994,107.11782741660002,1.0711782741660003
4,1.71,1994,108.94954226542387,1.0894954226542388
5,1.7,1995,110.80168448393607,1.1080168448393608
6,1.02,1995,111.93186166567222,1.1193186166567222
7,1.55,1995,113.66680552149015,1.1366680552149016
8,2.43,1995,116.42890889566236,1.1642890889566235
9,2.67,1995,119.53756076317654,1.1953756076317654
10,2.26,1995,122.23910963642433,1.2223910963642433
11,2.36,1995,125.12395262384395,1.2512395262384395
12,0.99,1995,126.36267975482001,1.2636267975482
13,0.99,1995,127.61367028439273,1.2761367028439272
14,1.41,1995,129.41302303540266,1.2941302303540265
15,1.47,1995,131.31539447402307,1.3131539447402307
16,1.56,1995,133.36391462781782,1.3336391462781783
17,1.34,1996,135.15099108383058,1.3515099108383057
18,1.03,1996,136.54304629199402,1.36543046291994
19,0.35,1996,137.020946954016,1.37020946954016
20,1.26,1996,138.7474108856366,1.387474108856366
21,1.22,1996,140.44012929844138,1.4044012929844139
22,1.19,1996,142.11136683709285,1.4211136683709285
23,1.11,1996,143.6888030089846,1.436888030089846
24,0.44,1996,144.32103374222413,1.4432103374222414
25,0.15,1996,144.53751529283747,1.4453751529283747
26,0.3,1996,144.97112783871597,1.4497112783871597
27,0.32,1996,145.4350354477999,1.454350354477999
28,0.47,1996,146.11858011440455,1.4611858011440455
29,1.18,1997,147.84277935975453,1.4784277935975454
30,0.5,1997,148.5819932565533,1.4858199325655328
31,0.51,1997,149.33976142216173,1.4933976142216172
32,0.88,1997,150.65395132267673,1.5065395132267674
33,0.41,1997,151.2716325230997,1.512716325230997
34,0.54,1997,152.08849933872446,1.5208849933872446
35,0.22,1997,152.42309403726966,1.5242309403726966
36,-0.02,1997,152.3926094184622,1.523926094184622
37,0.06,1997,152.48404498411327,1.5248404498411328
38,0.23,1997,152.83475828757673,1.5283475828757673
39,0.17,1997,153.09457737666563,1.5309457737666563
40,0.43,1997,153.75288405938528,1.5375288405938528
41,0.71,1998,154.84452953620692,1.548445295362069
42,0.46,1998,155.55681437207346,1.5555681437207347
43,0.34,1998,156.08570754093853,1.5608570754093853
44,0.24,1998,156.46031323903676,1.5646031323903677
45,0.5,1998,157.24261480523194,1.5724261480523194
46,0.02,1998,157.274063328193,1.57274063328193
47,-0.12,1998,157.08533445219916,1.5708533445219917
48,-0.51,1998,156.28419924649296,1.5628419924649295
49,-0.22,1998,155.94037400815068,1.5594037400815068
50,0.02,1998,155.97156208295232,1.559715620829523
51,-0.12,1998,155.7843962084528,1.557843962084528
52,0.33,1998,156.2984847159407,1.562984847159407
53,0.7,1999,157.39257410895226,1.5739257410895227
54,1.05,1999,159.04519613709624,1.5904519613709625
55,1.1,1999,160.7946932946043,1.607946932946043
56,0.56,1999,161.69514357705407,1.6169514357705408
57,0.3,1999,162.18022900778521,1.6218022900778521
58,0.19,1999,162.48837144290002,1.6248837144290003
59,1.09,1999,164.25949469162762,1.6425949469162762
60,0.56,1999,165.17934786190074,1.6517934786190074
61,0.31,1999,165.69140384027264,1.6569140384027263
62,1.19,1999,167.66313154597188,1.6766313154597188
63,0.95,1999,169.25593129565863,1.6925593129565863
64,0.6,1999,170.27146688343257,1.7027146688343258
65,0.62,2000,171.32714997810984,1.7132714997810985
66,0.13,2000,171.5498752730814,1.7154987527308139
67,0.22,2000,171.92728499868218,1.7192728499868217
68,0.42,2000,172.64937959567663,1.7264937959567663
69,0.01,2000,172.6666445336362,1.726666445336362
70,0.23,2000,173.06377781606355,1.7306377781606355
71,1.61,2000,175.85010463890217,1.7585010463890216
72,1.31,2000,178.1537410096718,1.7815374100967178
73,0.23,2000,178.56349461399404,1.7856349461399403
74,0.14,2000,178.81348350645365,1.7881348350645365
75,0.32,2000,179.38568665367433,1.7938568665367434
76,0.59,2000,180.44406220493102,1.80444062204931
77,0.57,2011,181.47259335949911,1.8147259335949912
78,0.46,2011,182.3073672889528,1.823073672889528
79,0.38,2011,183.00013528465084,1.8300013528465084
80,0.58,2011,184.0615360693018,1.840615360693018
81,0.41,2011,184.81618836718596,1.8481618836718596
82,0.52,2011,185.77723254669533,1.8577723254669534
83,1.33,2011,188.2480697395664,1.882480697395664
84,0.7,2011,189.56580622774334,1.8956580622774333
85,0.28,2011,190.096590485181,1.90096590485181
86,0.83,2011,191.674392186208,1.9167439218620799
87,0.71,2011,193.0352803707301,1.930352803707301
88,0.65,2011,194.29000969313984,1.9429000969313983
89,0.52,2002,195.30031774354418,1.953003177435442
90,0.36,2002,196.00339888742096,1.9600339888742095
91,0.6,2002,197.1794192807455,1.971794192807455
92,0.8,2002,198.75685463499147,1.9875685463499146
93,0.21,2002,199.17424402972495,1.9917424402972495
94,0.42,2002,200.01077585464978,2.000107758546498
95,1.19,2002,202.3909040873201,2.023909040873201
96,0.65,2002,203.7064449638877,2.037064449638877
97,0.72,2002,205.1731313676277,2.0517313136762767
98,1.31,2002,207.86089938854363,2.078608993885436
99,3.02,2002,214.13829855007765,2.1413829855007767
100,2.1,2002,218.63520281962926,2.1863520281962927
101,2.25,2003,223.5544948830709,2.235544948830709
102,1.57,2003,227.06430045273513,2.270643004527351
103,1.23,2003,229.85719134830376,2.2985719134830376
104,0.97,2003,232.0868061043823,2.3208680610438233
105,0.61,2003,233.50253562161905,2.3350253562161907
106,-0.15,2003,233.15228181818662,2.3315228181818664
107,0.2,2003,233.618586381823,2.3361858638182302
108,0.34,2003,234.41288957552123,2.344128895755212
109,0.78,2003,236.2413101142103,2.3624131011421032
110,0.29,2003,236.9264099135415,2.3692640991354152
111,0.34,2003,237.73195970724757,2.377319597072476
112,0.52,2003,238.96816589772527,2.3896816589772527
113,0.76,2004,240.784323958548,2.40784323958548
114,0.61,2004,242.25310833469513,2.4225310833469513
115,0.47,2004,243.39169794386817,2.4339169794386817
116,0.37,2004,244.29224722626049,2.442922472262605
117,0.51,2004,245.53813768711444,2.4553813768711445
118,0.71,2004,247.28145846469297,2.4728145846469296
119,0.91,2004,249.5317197367217,2.495317197367217
120,0.69,2004,251.25348860290507,2.5125348860290506
121,0.33,2004,252.08262511529466,2.5208262511529465
122,0.44,2004,253.19178866580194,2.5319178866580194
123,0.69,2004,254.93881200759594,2.5493881200759594
124,0.86,2004,257.1312857908612,2.5713128579086124
125,0.58,2005,258.62264724844823,2.586226472484482
126,0.59,2005,260.1485208672141,2.6014852086721407
127,0.61,2005,261.7354268445041,2.617354268445041
128,0.87,2005,264.01252505805127,2.6401252505805126
129,0.49,2005,265.3061864308357,2.653061864308357
130,-0.02,2005,265.2531251935495,2.6525312519354953
131,0.25,2005,265.9162580065334,2.659162580065334
132,0.17,2005,266.3683156451445,2.663683156451445
133,0.35,2005,267.3006047499025,2.673006047499025
134,0.75,2005,269.3053592855268,2.693053592855268
135,0.55,2005,270.78653876159717,2.7078653876159717
136,0.36,2005,271.7613703011389,2.717613703011389
137,0.59,2006,273.36476238591564,2.7336476238591563
138,0.41,2006,274.48555791169787,2.7448555791169786
139,0.43,2006,275.66584581071817,2.756658458107182
140,0.21,2006,276.24474408692066,2.762447440869207
141,0.1,2006,276.52098883100757,2.7652098883100757
142,-0.21,2006,275.94029475446246,2.7594029475446247
143,0.19,2006,276.46458131449594,2.7646458131449596
144,0.05,2006,276.6028136051532,2.7660281360515317
145,0.21,2006,277.18367951372403,2.7718367951372405
146,0.33,2006,278.0983856561193,2.780983856561193
147,0.31,2006,278.96049065165334,2.7896049065165336
148,0.48,2006,280.29950100678127,2.8029950100678125
149,0.44,2007,281.5328188112111,2.815328188112111
150,0.44,2007,282.7715632139804,2.827715632139804
151,0.37,2007,283.81781799787217,2.838178179978722
152,0.25,2007,284.52736254286685,2.8452736254286686
153,0.28,2007,285.3240391579869,2.8532403915798685
154,0.28,2007,286.1229464676292,2.8612294646762924
155,0.24,2007,286.8096415391515,2.8680964153915154
156,0.47,2007,288.1576468543855,2.881576468543855
157,0.18,2007,288.6763306187234,2.886763306187234
158,0.3,2007,289.5423596105795,2.895423596105795
159,0.38,2007,290.6426205770997,2.906426205770997
160,0.74,2007,292.7933759693703,2.927933759693703
161,0.54,2008,294.3744601996049,2.943744601996049
162,0.49,2008,295.816895054583,2.9581689505458297
163,0.48,2008,297.23681615084496,2.9723681615084496
164,0.55,2008,298.87161863967464,2.988716186396746
165,0.79,2008,301.2327044269281,3.0123270442692807
166,0.74,2008,303.46182643968734,3.0346182643968733
167,0.53,2008,305.0701741198177,3.0507017411981767
168,0.28,2008,305.9243706073532,3.059243706073532
169,0.26,2008,306.7197739709323,3.067197739709323
170,0.45,2008,308.10001295380147,3.0810001295380145
171,0.36,2008,309.20917300043516,3.0920917300043516
172,0.28,2008,310.07495868483636,3.1007495868483637
173,0.48,2009,311.56331848652354,3.1156331848652354
174,0.55,2009,313.2769167381994,3.132769167381994
175,0.2,2009,313.9034705716758,3.1390347057167585
176,0.48,2009,315.4102072304198,3.154102072304198
177,0.47,2009,316.8926352044028,3.1689263520440276
178,0.36,2009,318.03344869113863,3.180334486911386
179,0.24,2009,318.79672896799735,3.1879672896799733
180,0.15,2009,319.2749240614494,3.1927492406144937
181,0.24,2009,320.04118387919686,3.2004118387919687
182,0.28,2009,320.9372991940586,3.209372991940586
183,0.41,2009,322.25314212075426,3.2225314212075427
184,0.37,2009,323.44547874660105,3.2344547874660106
185,0.75,2010,325.8713198372006,3.2587131983720057
186,0.78,2010,328.41311613193074,3.284131161319307
187,0.52,2010,330.1208643358168,3.301208643358168
188,0.57,2010,332.00255326253097,3.32002553262531
189,0.43,2010,333.43016424155985,3.3343016424155985
190,0.0,2010,333.43016424155985,3.3343016424155985
191,0.01,2010,333.463507257984,3.3346350725798404
192,0.04,2010,333.5968926608872,3.335968926608872
193,0.45,2010,335.09807867786117,3.350980786778612
194,0.75,2010,337.61131426794515,3.3761131426794515
195,0.83,2010,340.41348817636907,3.4041348817636905
196,0.63,2010,342.5580931518802,3.425580931518802
197,0.83,2011,345.4013253250408,3.4540132532504075
198,0.8,2011,348.1645359276411,3.481645359276411
199,0.79,2011,350.9150357614695,3.5091503576146947
200,0.77,2011,353.6170815368328,3.5361708153683282
201,0.47,2011,355.2790818200559,3.552790818200559
202,0.15,2011,355.81200044278603,3.5581200044278605
203,0.16,2011,356.3812996434945,3.563812996434945
204,0.37,2011,357.69991045217546,3.5769991045217546
205,0.53,2011,359.595719977572,3.59595719977572
206,0.43,2011,361.14198157347556,3.6114198157347555
207,0.52,2011,363.0199198776577,3.6301991987765767
208,0.5,2011,364.83501947704593,3.6483501947704595
209,0.56,2012,366.8780955861174,3.668780955861174
210,0.45,2012,368.52904701625494,3.6852904701625495
211,0.21,2012,369.3029580149891,3.693029580149891
212,0.64,2012,371.666496946285,3.71666496946285
213,0.36,2012,373.00449633529166,3.7300449633529165
214,0.08,2012,373.3028999323599,3.733028999323599
215,0.43,2012,374.908102402069,3.74908102402069
216,0.41,2012,376.4452256219175,3.7644522562191747
217,0.57,2012,378.5909634079624,3.785909634079624
218,0.59,2012,380.8246500920694,3.8082465009206943
219,0.6,2012,383.10959799262184,3.8310959799262183
220,0.79,2012,386.13616381676354,3.8613616381676352
221,0.86,2013,389.45693482558767,3.8945693482558768
222,0.6,2013,391.79367643454117,3.9179367643454115
223,0.47,2013,393.6351067137835,3.936351067137835
224,0.55,2013,395.80009980070935,3.9580009980070936
225,0.37,2013,397.264560169972,3.9726456016997203
226,0.26,2013,398.2974480264139,3.982974480264139
227,0.03,2013,398.41693726082184,3.9841693726082186
228,0.24,2013,399.3731379102478,3.993731379102478
229,0.35,2013,400.7709438929337,4.007709438929337
230,0.57,2013,403.0553382731234,4.0305533827312345
231,0.54,2013,405.2318370997983,4.052318370997983
232,0.92,2013,408.9599700011165,4.089599700011165
233,0.55,2014,411.2092498361227,4.112092498361227
234,0.69,2014,414.0465936599919,4.140465936599919
235,0.92,2014,417.8558223216639,4.178558223216639
236,0.67,2014,420.655456331219,4.20655456331219
237,0.46,2014,422.5904714303426,4.225904714303426
238,0.4,2014,424.28083331606393,4.24280833316064
239,0.01,2014,424.32326139939556,4.243232613993956
240,0.25,2014,425.384069552894,4.25384069552894
241,0.57,2014,427.80875874934554,4.278087587493456
242,0.42,2014,429.60555553609277,4.296055555360928
243,0.51,2014,431.7965438693269,4.317965438693269
244,0.78,2014,435.16455691150765,4.351645569115076
245,1.24,2015,440.5605974172103,4.405605974172103
246,1.22,2015,445.9354367057003,4.459354367057003
247,1.32,2015,451.82178447021556,4.518217844702155
248,0.71,2015,455.0297191399541,4.550297191399541
249,0.74,2015,458.3969390615898,4.5839693906158985
250,0.79,2015,462.01827488017636,4.6201827488017635
251,0.62,2015,464.8827881844334,4.648827881844334
252,0.22,2015,465.90553031843916,4.659055303184392
253,0.54,2015,468.4214201821588,4.684214201821588
254,0.82,2015,472.26247582765245,4.722624758276525
255,1.01,2015,477.0323268335117,4.770323268335117
256,0.96,2015,481.61183717111345,4.816118371711134
